logFC.t,AveExpr.t,t.t,P.Value.t,adj.P.Val.t,B.t,#NAME?,gene,ID,logFC.s,AveExpr.s,t.s,P.Value.s,adj.P.Val.s,B.s,#NAME?,UniProtID
0.930528175,14.79296963,4.258895333,0.001126845,0.065439321,-0.628754188,1.184161215,CD2AP,sp|Q9Y5K6|CD2AP_HUMAN,0.401024814,15.01997772,1.345797499,0.204156068,0.757046933,-5.279520619,0.120877196,Q9Y5K6
-0.791499137,17.82278657,-4.290912592,0.001065061,0.065439321,-0.575216004,1.184161215,UBP5,sp|P45974|UBP5_HUMAN,-0.189635988,17.78936443,-0.930026947,0.371362261,0.858243592,-5.717621065,0.06638943,P45974
0.893958301,13.80100786,4.245424804,0.00115394,0.065439321,-0.651316617,1.184161215,SIG14,sp|Q08ET2|SIG14_HUMAN / sp|O15389|SIGL5_HUMAN,0.068271955,14.1142946,0.371923181,0.71667461,0.960820447,-6.078469293,0.017357763,Q08ET2
-1.798327731,7.76682088,-4.279812728,0.001321576,0.073105199,-0.724166772,1.136051737,DSC1,sp|Q08554|DSC1_HUMAN,0.458750286,7.87810996,0.685690344,0.506420397,0.906096657,-5.910845912,0.042825472,Q08554
3.406547712,11.11477413,4.149148621,0.00136837,0.073251947,-0.813202564,1.135180825,ACOT8,sp|O14734|ACOT8_HUMAN,1.500504431,10.48047947,1.992238329,0.07048545,0.609740801,-4.391656564,0.214854743,O14734
0.872581397,16.59507595,4.150886531,0.001364154,0.073251947,-0.810270758,1.135180825,NPA1P,sp|O60287|NPA1P_HUMAN,0.503830593,16.18212084,1.689760801,0.117820976,0.697332629,-4.832402725,0.156560013,O60287
-0.428018518,16.98250202,-4.13927536,0.001392582,0.073364732,-0.829864988,1.134512667,TRML1,sp|Q86YW5|TRML1_HUMAN,-0.168696821,17.1761343,-1.173021843,0.264379723,0.784977867,-5.476833862,0.105142588,Q86YW5
-0.653302718,19.3200996,-4.110167832,0.001466575,0.073750934,-0.879051602,1.132232478,BPIB1,sp|Q8TDL5|BPIB1_HUMAN,-0.512642045,19.39485266,-3.305965338,0.006568784,0.378766078,-2.229647083,0.421628923,Q8TDL5
1.00230043,16.95876338,4.112437087,0.001460663,0.073750934,-0.875213564,1.132232478,CX6B1,sp|P14854|CX6B1_HUMAN,0.578176,17.16043609,3.11728024,0.009265731,0.416618248,-2.549353323,0.380261712,P14854
-0.820817698,15.18166596,-4.119963976,0.001441228,0.073750934,-0.862487267,1.132232478,RN123,sp|Q5XPI4|RN123_HUMAN,-0.08345638,15.25109367,-0.361652765,0.724132127,0.962467889,-6.082332438,0.016613751,Q5XPI4
0.5470202,20.70834086,4.067130191,0.001583517,0.078443175,-0.951948945,1.105444837,APOC4,sp|P55056|APOC4_HUMAN,0.087085218,20.42531942,0.845447788,0.415009196,0.871380058,-5.790353517,0.059792383,P55056
-0.630371689,15.92297999,-4.048620173,0.00163674,0.079887355,-0.983362708,1.097521959,PSMD2,sp|Q13200|PSMD2_HUMAN,-0.082993792,15.87728936,-0.443713877,0.665436286,0.947483069,-6.048533293,0.023428542,Q13200
-0.95198699,19.33930118,-4.030936028,0.001689317,0.081258589,-1.013408648,1.090130724,SYUA,sp|P37840|SYUA_HUMAN,0.036143217,19.28081361,0.165338128,0.871532522,0.984888131,-6.135644366,0.006613096,P37840
-0.676878634,14.03785116,-3.956675258,0.001929879,0.088962046,-1.139929312,1.050795238,TNPO1,sp|Q92973|TNPO1_HUMAN,-0.182239536,14.03288363,-1.134202058,0.279671149,0.79618618,-5.518306683,0.098985365,Q92973
0.607431664,11.75561357,3.962160146,0.001910957,0.088962046,-1.13056572,1.050795238,NAGK,sp|Q9UJ70|NAGK_HUMAN,-0.152148702,12.01339908,-0.696518321,0.499863585,0.903151206,-5.903400261,0.044239534,Q9UJ70
-0.80184699,15.63238967,-3.960151542,0.001917864,0.088962046,-1.133994392,1.050795238,GAPD1,sp|Q14C86|GAPD1_HUMAN,-0.061812734,15.48126947,-0.22309384,0.827353877,0.977505666,-6.12404172,0.009880716,Q14C86
-1.165077056,8.683482042,-4.019761706,0.002047563,0.093093988,-1.137372766,1.031078364,PDCD5,sp|O14737|PDCD5_HUMAN,-0.002972609,8.462723798,-0.006936998,0.994594361,0.999412257,-6.099582203,0.000255329,O14737
-0.75656115,16.78877355,-3.907972297,0.002106607,0.094484169,-1.223199496,1.024640954,CSN4,sp|Q9BT78|CSN4_HUMAN,0.01384458,16.78740724,0.066467932,0.948140411,0.988571809,-6.147521859,0.004991778,Q9BT78
-0.756984586,14.07314585,-3.884976361,0.00219577,0.094646236,-1.262593792,1.023896653,SASH3,sp|O75995|SASH3_HUMAN,-0.290918919,14.12702739,-0.920659556,0.376032082,0.858429459,-5.725970502,0.066295387,O75995
0.72098097,16.21742051,3.888557014,0.002181635,0.094646236,-1.256456621,1.023896653,ANXA9,sp|O76027|ANXA9_HUMAN,0.192505878,16.31549759,0.785725662,0.447826389,0.882238565,-5.838036413,0.054413962,O76027
0.830515761,14.44090097,3.886468286,0.002189869,0.094646236,-1.26003652,1.023896653,IBTK,sp|Q9P2D0|IBTK_HUMAN,0.145178103,14.47852723,0.712325643,0.49038387,0.901708623,-5.89233909,0.044933777,Q9P2D0
-0.940568672,15.28922505,-3.873828806,0.002240383,0.094755378,-1.281707859,1.023396133,FBX7,sp|Q9Y3I1|FBX7_HUMAN,-0.190659534,15.50888424,-0.799170221,0.440295624,0.876629379,-5.827572621,0.057183979,Q9Y3I1
-0.941032665,13.32152517,-3.870127599,0.002255401,0.094755378,-1.288056555,1.023396133,CI040,sp|Q8IXQ3|CI040_HUMAN,-0.077059141,13.00703899,-0.187556127,0.85447466,0.980636721,-6.131586647,0.008491848,Q8IXQ3
-0.436883573,16.67017832,-3.856810186,0.0023103,0.094863694,-1.310909957,1.022899967,GPC1,sp|P35052|GPC1_HUMAN,-0.612316418,16.59855247,-4.341214905,0.001044244,0.150688893,-0.516657815,0.821918759,P35052
0.921862442,14.01148025,3.855651037,0.002315143,0.094863694,-1.312899855,1.022899967,CO4A2,sp|P08572|CO4A2_HUMAN,0.36178345,13.98541,1.834363709,0.092437294,0.650368548,-4.626424262,0.18684047,P08572
-0.530223339,22.65396907,-3.847852696,0.002347998,0.095036649,-1.326290201,1.022108887,CO8A,sp|P07357|CO8A_HUMAN,-0.290400073,22.45214227,-2.18346291,0.050396388,0.589635363,-4.095775783,0.229416478,P07357
-0.468101315,17.05249124,-3.831749228,0.00241737,0.095514902,-1.353957607,1.019928863,FAT2,sp|Q9NYQ8|FAT2_HUMAN,-0.844223361,16.98677335,-3.93390573,0.002125847,0.228628441,-1.17804567,0.640869744,Q9NYQ8
-0.432390089,15.86661166,-3.837403199,0.002392776,0.095514902,-1.344240988,1.019928863,HS105,sp|Q92598|HS105_HUMAN,0.052665697,15.87099604,0.463418594,0.651663527,0.941197235,-6.039425932,0.026319357,Q92598
1.213929167,23.3707136,3.783744707,0.002636947,0.099452382,-1.436562376,1.002384809,FIBB,sp|P02675|FIBB_HUMAN,0.892237741,23.22588126,3.650724502,0.003521566,0.271815722,-1.648684287,0.565725428,P02675
