pathway,pval,padj,log2err,ES,NES,size
Cyclin D3-CDK4 complex,0.881656805,1,0.050805414,0.33654103,0.634134472,5
Cyst wall,0.000323194,0.039241182,0.498493109,0.602206644,1.944712206,39
Cytochrome b6f complex,0.829025845,1,0.054008827,0.338735904,0.695767485,7
Cytochrome complex,0.190380762,0.816887194,0.14122512,0.552522999,1.282573225,11
Cytolytic granule,0.857699805,1,0.051530912,-0.250919751,-0.736287207,27
Cytoneme,0.618955513,1,0.06658921,0.361285092,0.888970496,13
Cytoplasmic chromatin,0.435897436,0.954303397,0.085784441,0.550893711,1.038032993,5
Cytoplasmic chromosome,0.212814645,0.831289379,0.142901149,0.281671381,1.118104372,120
Cytoplasmic dynein complex,0.519191919,0.971296402,0.077679856,-0.516422963,-0.982804996,5
Cytoplasmic mRNA processing body,0.043081714,0.640563463,0.321775918,-0.574269239,-1.571833974,19
Cytoplasmic membrane-bounded vesicle lumen,0.005340876,0.237050031,0.407017919,0.423134426,1.579632731,80
Cytoplasmic microtubule,0.713995943,1,0.061976274,-0.347635022,-0.798305385,10
Cytoplasmic region,0.249070632,0.855066398,0.116234149,-0.294895881,-1.106855426,94
Cytoplasmic ribonucleoprotein granule,0.067924528,0.712172151,0.237793834,-0.447115025,-1.4086531,37
Cytoplasmic side of membrane,0.499036609,0.969659564,0.077274697,-0.279744591,-0.975676876,62
Cytoplasmic side of plasma membrane,0.281853282,0.864557346,0.110564716,-0.322875768,-1.10485404,55
Cytoplasmic stress granule,0.827037773,1,0.054120057,-0.323235143,-0.705446995,8
Cytoplasmic vesicle,0.378666667,0.92135883,0.112378519,0.222431901,1.015253299,451
Cytoplasmic vesicle membrane,0.968531469,1,0.040988387,-0.184794726,-0.734418585,143
Cytoplasmic vesicle part,0.154394299,0.771445539,0.173747839,0.263128828,1.126379731,225
Cytoproct,0.795959596,1,0.056648418,-0.382031011,-0.727043554,5
Cytoskeletal part,0.221052632,0.838733553,0.120433372,-0.275481741,-1.110489908,165
Cytoskeleton,0.090909091,0.720595963,0.195789002,-0.291914804,-1.202930155,208
Cytoskeleton of presynaptic active zone,0.35261194,0.902349169,0.094664622,-0.347423936,-1.079389703,32
Cytosolic aryl hydrocarbon receptor complex,0.882352941,1,0.052057003,-0.291665682,-0.649437428,9
Cytosolic large ribosomal subunit,0.20233463,0.830426919,0.134273453,-0.425256927,-1.222997372,24
Cytosolic part,4.44E-06,0.001294834,0.610526878,-0.568639365,-2.068937508,77
Cytosolic proteasome complex,5.98E-05,0.008706576,0.557332239,-0.902638763,-1.969970829,8
Cytosolic ribosome,0.096226415,0.722792947,0.197822021,-0.414590785,-1.350840401,43
Cytosolic small ribosomal subunit,0.77029703,1,0.057246114,-0.302735752,-0.778528605,16
Cytostome,0.640471513,1,0.06568136,0.395834296,0.8641987,9
DASH complex,0.389662028,0.923260341,0.092552886,-0.487378431,-1.063682762,8
DNA bending complex,0.75106383,1,0.061840604,0.255970578,0.822286935,38
DNA ligase IV complex,0.624254473,1,0.067518895,0.433900172,0.891235996,7
DNA polymerase III complex,0.905697446,1,0.049391011,0.280181457,0.634492957,10
DNA polymerase processivity factor complex,0.035086426,0.594429333,0.321775918,0.31485645,1.298889136,177
DNA recombinase complex,0.572564612,0.995497184,0.071827629,-0.424206121,-0.925811874,8
DNA replication preinitiation complex,0.636,1,0.066896628,-0.34297159,-0.876191015,15
DNA replication termination region,0.196463654,0.816995463,0.13725078,0.540290613,1.292380168,12
DNA-dependent protein kinase complex,0.161478599,0.783610642,0.152144922,-0.466913545,-1.293782811,20
DPS complex,0.061349693,0.712172151,0.261663522,0.53005843,1.438274711,19
DRM complex,0.758426966,1,0.055364284,-0.252200369,-0.814957497,41
DSIF complex,0.75959596,1,0.058843817,-0.399139512,-0.759602758,5
Dbf4-dependent protein kinase complex,0.807465619,1,0.054680849,0.304477284,0.728312494,12
Delta1 complex,0.994241843,1,0.044064035,-0.168421143,-0.583722946,60
Dendrite,0.631086142,1,0.064070375,-0.243748752,-0.904845967,87
Dendritic branch,0.431492843,0.954303397,0.088359444,0.339547928,1.015665894,27
Dendritic branch point,0.865877712,1,0.051635596,0.346552055,0.652997954,5
Dendritic filopodium,0.809224319,1,0.057609111,0.261166822,0.778295511,28
Dendritic growth cone,0.051330287,0.695239731,0.321775918,-0.786481155,-1.49675298,5
Dendritic knob,0.36969697,0.92135883,0.096562955,-0.579393939,-1.102645117,5
Dendritic lamellar body,0.85483871,1,0.053238649,0.252963226,0.743602621,25
Dendritic microtubule,0.49304175,0.969449162,0.079556468,-0.407385275,-0.964750755,11
Dendritic shaft,0.659229209,1,0.065831196,-0.367070139,-0.842935983,10
Dendritic spine,0.948875256,1,0.049093967,0.221522885,0.633135782,23
Dendritic spine neck,0.514395393,0.971296402,0.075501529,-0.276095922,-0.961473744,61
Dendritic tree,0.206543967,0.831289379,0.136490438,0.399205987,1.194116862,27
Dense fibrillar component,0.366141732,0.92135883,0.095603149,0.425523701,1.065895668,14
Dentate gyrus mossy fiber,0.734817814,1,0.060509299,-0.317320759,-0.797946023,14
Desmosome,0.253549696,0.855066398,0.120985142,-0.524154967,-1.20366392,10
Diamine N-acetyltransferase complex,0.196392786,0.816995463,0.138805109,-0.638326289,-1.266985127,6
Dinoflagellate cingulum,0.498942918,0.969659564,0.082205492,0.286048281,0.978314801,50
Dinoflagellate epicone,0.492277992,0.969449162,0.078089231,-0.284205005,-0.972525902,55
Dinoflagellate sulcus,0.009616534,0.333602134,0.380730401,0.853570258,1.608357603,5
Discoidal high-density lipoprotein particle,0.904669261,1,0.048995409,-0.238705967,-0.686495037,24
DnaB helicase complex,0.451676529,0.960318328,0.083836106,0.54414424,1.02531516,5
Dom34-Hbs1 complex,0.889546351,1,0.050396432,0.331818182,0.625235346,5
Dosage compensation complex,0.579158317,0.999269431,0.071652737,-0.462179082,-0.917358461,6
Dsl1p complex,0.210953347,0.831289379,0.134273453,-0.552717532,-1.230708561,9
Dynactin complex,0.046098164,0.665000254,0.321775918,-0.730750246,-1.508682203,7
Dynein complex,0.689860835,1,0.062661823,-0.350805776,-0.830761831,11
Dystrobrevin complex,0.985943775,1,0.046508405,-0.201210941,-0.536651409,18
EFF-1 complex,0.507014028,0.971296402,0.078502905,0.459339729,0.965816478,8
EGO complex,0.121276596,0.730462436,0.186432558,0.402938068,1.294409349,38
EMILIN complex,0.797520661,1,0.057609111,0.232280497,0.811127123,55
ER membrane insertion complex,0.271510516,0.864557346,0.112378519,-0.339883702,-1.113288099,45
ER to Golgi transport vesicle,0.526859504,0.971296402,0.078089231,0.315718001,0.953624729,29
ER to Golgi transport vesicle membrane,0.462301587,0.963624339,0.082896213,0.363586897,0.980837244,18
ERMES complex,0.070140281,0.712172151,0.241339977,0.623285578,1.446834603,11
ESCRT II complex,0.924124514,1,0.048022042,-0.229570029,-0.644248124,21
ESCRT complex,0.769539078,1,0.057852976,-0.374665642,-0.773521992,7
ESCRT-0 complex,0.089694656,0.720595963,0.206587923,-0.4187681,-1.341072301,40
Early endosome,0.129385965,0.730462436,0.183023938,0.31616458,1.20760088,95
Early endosome membrane,0.182377049,0.802789609,0.146416238,0.403743218,1.229450912,30
Ectoplasm,0.735238095,1,0.057609111,-0.265948342,-0.828968577,34
Efflux pump complex,0.517175573,0.971296402,0.074927882,-0.278544375,-0.959137689,57
Egg coat,0.442348008,0.955977139,0.088359444,0.32360949,1.009320892,34
Eisosome,0.925343811,1,0.048408762,0.27103801,0.591739266,9
Elastic fiber,0.036147304,0.598809752,0.321775918,0.371813664,1.387479669,78
Electron transfer flavoprotein complex,0.827868852,1,0.055479331,0.252355801,0.768456424,30
EmrE multidrug transporter complex,0.714003945,1,0.060640401,0.43851945,0.826289441,5
Endocytic patch,0.932059448,1,0.051635596,0.204321766,0.688467145,48
Endocytic vesicle,0.826007326,1,0.050396432,-0.220958833,-0.831874241,95
Endocytic vesicle lumen,0.055670103,0.705316002,0.276500599,-0.625643426,-1.53124116,13
Endocytic vesicle membrane,0.775047259,1,0.05479395,-0.243014342,-0.821272276,50
Endolysosome,0.957403651,1,0.048311758,-0.24285051,-0.540743118,9
Endolysosome membrane,0.346693387,0.899969818,0.099927697,-0.566396024,-1.124213981,6
Endomembrane system,0.82788296,1,0.047448319,-0.209167355,-0.883613608,273
Endoplasmic reticulum,0.993723849,1,0.048022042,0.167217276,0.598259556,64
Endoplasmic reticulum chaperone complex,0.592445328,1,0.070113216,0.445387093,0.914830266,7
Endoplasmic reticulum exit site,0.833667335,1,0.054120057,0.334563312,0.703459203,8
Endoplasmic reticulum lumen,0.295116773,0.879315211,0.113787262,0.280911353,1.077476255,89
Endoplasmic reticulum membrane,0.764285714,1,0.066436414,0.209630966,0.901367944,234
Endoplasmic reticulum part,0.59047619,1,0.079556468,0.217115332,0.968946179,316
Endoplasmic reticulum subcompartment,0.716024341,1,0.061840604,-0.338176195,-0.820238467,12
Endoplasmic reticulum tubular network,0.724137931,1,0.061302608,-0.357617671,-0.79628943,9
Endoplasmic reticulum-Golgi intermediate compartment,0.286324786,0.865508742,0.116234149,0.344504719,1.121639699,41
Endoplasmic reticulum-Golgi intermediate compartment membrane,0.821011673,1,0.053457214,-0.263690435,-0.740001074,21
Endosomal part,0.948853616,1,0.042331839,-0.193587818,-0.758014206,128
Endosomal scaffold complex,0.932,1,0.048897077,-0.239088306,-0.610799937,15
Endosome,0.998293515,1,0.038478692,-0.172375082,-0.718551205,232
Endosome lumen,0.614931238,1,0.06767604,0.407960479,0.89067299,9
Endosome membrane,0.818671454,1,0.049890736,-0.2170271,-0.84110229,121
Endothelial microparticle,0.89055794,1,0.054231594,0.234709926,0.716156801,32
Enhanceosome,0.017413926,0.430035427,0.352487858,-0.657889837,-1.654353093,14
