Reference,Protein.Accession,GeneName,S01_41,S03_28,S05_51,S07_43,S09_24,S11_21,S13_52,S15_11,S17_14,S19_55,S02_44,S04_31,S06_60,S08_46,S10_26,S12_25,S14_53,S16_13,S18_16,S20_50,T01_42,T03_54,T05_27,T07_15,T09_39,T11_12,T13_29,T15_18,T17_47,T19_58,T02_40,T04_57,T06_30,T08_10,T10_38,T12_17,T14_22,T16_19,T18_48,T20_59,Accession_primary
sp|P02775|CXCL7_HUMAN,P02775,PPBP,6430261.093,3544433.301,3370682.532,3531359.18,3563131.12,3133048.671,2663332.804,4355937.978,2871139.403,3231970,6428414.547,3463926.862,2643962.552,4210582.369,2987623.723,4123490.679,3449160,6394089.689,2944078.617,3375555.37,6050479.089,2815728.584,2998880.23,2830680.708,3734361.565,2907184.698,3077003.899,3567769.953,2300251.174,2865688.293,7119214.437,4756088.205,3248633.756,3777930.101,3584412.357,3075325.052,2929660.376,6153203.2,2276785.836,4133804.518,P02775
sp|P02776|PLF4_HUMAN,P02776,PF4,99826052.52,66052019.17,49728978.42,54153341.37,66539853.34,54393202.14,49377784.27,70743303.5,62635524.18,71810730,105295429.2,65788209.55,53154173.31,60351083.33,41679090.4,80355525.96,60131580,67783978.11,53446830.63,87705072.66,108308570.9,65042146.53,36071937.53,57912306.78,73148182.62,48732788.14,59129916.37,76306737.94,52863755.68,76051393.65,99831468.08,74232157.33,49823744.77,67533242.73,71374471.45,68917137.45,79135375.3,97003290.93,49461045.28,87494563.7,P02776
sp|P02786|TFR1_HUMAN,P02786,TFRC,424662.7226,586438.2786,533515.7911,1670066.542,441734.0997,315288.218,675234.9927,1095339.153,709802.4776,623640,493205.3003,757705.7123,619394.3793,1365950.28,510891.5643,947493.8943,864159,1557799.971,719412.4496,802567.1453,450177.766,478438.0867,718366.4644,378179.6106,627860.33,277748.226,234185.3543,260611.3556,1255070.554,786051.3117,551480.8238,1044715.114,809412.7273,633012.3313,726749.7093,482755.1448,545295.5799,491737.286,1787167.331,1072475.181,P02786
sp|P02787|TRFE_HUMAN,P02787,TF,129891853.9,50259805.02,120818691.2,33122469.17,108164548,97907396.07,52593038.59,172177638.8,44448460.08,36875273,175039566.8,69756174.29,72486714.02,46780292.43,193465785.6,250470764.7,139327760,350894746.8,30334609.23,54241827.26,218466110.5,78335184.53,149467712.4,145637263.9,78913455.4,72734194.83,71525946.18,71301279.31,43505569.13,98362875.54,223583840.1,192135957.8,140710136.1,157917110.8,86113678.68,108293884.4,71107147.9,251708216.8,23183992.09,206642858.4,P02787
sp|P02788|TRFL_HUMAN,P02788,LTF,791436.3115,610548.1853,703476.8354,550371.3943,447049.9255,2148827.192,517090.3519,551810.2587,618732,1452040,609527.8179,804972.7984,671745.5862,755410.2301,975546.3801,1075358.883,767300,488466.5524,895225.4467,1659884.693,536496.3287,792209.683,490526.0492,294697.056,1549215.771,1034007.914,628469.4785,537989.6479,272593.0425,756581.6361,1124697.551,654174.9888,548568.9468,554938.8055,1217120.907,774104.3983,1225549.624,601971.1956,409689.2199,939591.4246,P02788
sp|P02790|HEMO_HUMAN,P02790,HPX,19005559.01,6389101.314,22774939.91,4311741.83,16526543.3,14839865.08,8802372.239,24683110.32,7231909.343,4713022,22547120.18,6895517.307,11036689.57,4737706.536,23798027.25,29709074.6,20037961,38312299.25,4557249.058,5872271.456,36770847.83,12736953.71,30248058.74,21678017.08,10972323.36,16141930.97,14215502.9,12456115.29,5766130.313,16193967,28290312.87,25718577.45,20984949.54,17035477.95,9424429.096,20643846.38,12026674.29,38788738.72,3089283.941,28242133,P02790
sp|P02792|FRIL_HUMAN,P02792,FTL,20182.36342,26928.94363,70983.29114,15672.83487,41568.42617,14795.22874,29158.94276,16226.91652,65579.19403,32687,37762.63863,31167.63006,39858.96552,10937.8296,23864.47964,9191.867376,25799,25477.86002,89523.51585,25094.98277,23031.60402,11311.40157,60470.56531,22705.25074,32016.96846,22569.01153,33812.17309,27954.78286,44868.30817,31427.98307,17037.46072,23670.10614,63723.63636,27383.43718,11389.3996,9457.80902,26480.38245,12994.07941,48880.81232,24054.45612,P02792
sp|P02794|FRIH_HUMAN,P02794,FTH1,2481.980078,3795.779055,8478.322785,2344.601617,5598.477979,5615.116034,2426.26885,1149.088771,7705.731343,2050,4640.24197,7287.725264,9947.310345,2420.615672,6524.337427,2097.68533,4150,2086.837558,15830.25937,6552.240092,2060.534674,109.7528351,4821.97381,4304.454277,2726.314252,1554.854723,4348.042479,3994.953052,7152.768456,6502.341326,3663.354565,5320.257139,4693.722127,3893.172378,5053.246833,2314.721902,3739.749216,2795.034885,7174.83871,5386.199477,P02794
sp|P03950|ANGI_HUMAN,P03950,ANG,33649.13975,9067.694408,14621.10759,14670.78522,21531.76813,19198.66184,13683.28198,18058.5244,19505.76119,14980,28986.95089,9304.454267,27378.34483,6748.383085,31042.34001,22083.67219,16860,19713.33525,12450.54755,10704.25043,49506.35257,10730.29951,23560.939,6620.707965,9212.383178,12645.49569,10426.75543,12182.62911,26151.42617,31114.27362,28085.71833,8685.722829,18809.57118,13921.37201,8652.396107,19883.09946,12444.70219,24626.52358,13885.19062,13538.00523,P03950
sp|P03951|FA11_HUMAN,P03951,F11,926755.086,904890.7219,811839.3987,515078.8164,659630.5732,906290.6735,735826.1391,890049.4915,560529.5851,358771,1090399.588,892634.0496,715660.1724,540824.2226,606948.5456,1236907.007,714780,924847.5806,521466.2248,349695.0862,1190971.202,489802.4048,791680.9166,597633.2153,472685.8061,746153.1318,630968.2676,808236.3556,309290.797,559030.2398,1152788.04,1062230.65,767184.2573,749840.3102,507087.132,656346.6287,654378.9937,1061055.675,281215.1349,649489.685,P03951
